time;H_sun;temp;wind_speed
20180101:0010;0.0;8.81;2.41
20180101:0110;0.0;8.88;2.55
20180101:0210;0.0;8.95;2.55
20180101:0310;0.0;8.82;2.55
20180101:0410;0.0;8.51;2.55
20180101:0510;0.0;8.3;2.62
20180101:0610;0.0;8.04;2.62
20180101:0710;3.74;8.01;2.76
20180101:0810;11.94;8.86;3.38
20180101:0910;18.45;9.6;3.45
20180101:1010;22.74;9.95;3.31
20180101:1110;24.33;10.3;2.83
20180101:1210;23.05;10.4;2.97
20180101:1310;19.04;10.19;2.9
20180101:1410;12.74;9.49;2.0
20180101:1510;4.7;8.93;1.79
20180101:1610;0.0;8.3;2.14
20180101:1710;0.0;7.64;2.21
20180101:1810;0.0;7.62;1.72
20180101:1910;0.0;6.56;1.24
20180101:2010;0.0;5.5;1.52
20180101:2110;0.0;5.16;1.45
20180101:2210;0.0;4.98;1.59
20180101:2310;0.0;5.05;1.72
20180102:0010;0.0;5.36;1.79
20180102:0110;0.0;5.1;1.79
20180102:0210;0.0;4.65;1.72
20180102:0310;0.0;4.76;1.45
20180102:0410;0.0;4.21;1.24
20180102:0510;0.0;3.83;1.17
20180102:0610;0.0;4.19;0.9
20180102:0710;3.74;4.09;0.48
20180102:0810;11.96;5.28;0.76
20180102:0910;18.49;6.23;1.86
20180102:1010;22.8;7.14;3.03
20180102:1110;24.42;7.69;3.1
20180102:1210;23.15;8.54;2.9
20180102:1310;19.15;8.95;2.62
20180102:1410;12.87;8.94;2.34
20180102:1510;4.83;8.25;1.72
20180102:1610;0.0;6.99;1.59
20180102:1710;0.0;5.61;1.24
20180102:1810;0.0;5.49;0.97
20180102:1910;0.0;5.8;0.69
20180102:2010;0.0;4.72;0.69
20180102:2110;0.0;3.7;0.9
20180102:2210;0.0;2.67;0.9
20180102:2310;0.0;1.3;1.1
20180103:0010;0.0;0.45;1.1
20180103:0110;0.0;0.01;1.1
20180103:0210;0.0;-0.53;1.1
20180103:0310;0.0;-0.27;0.97
20180103:0410;0.0;-0.87;1.1
20180103:0510;0.0;-0.92;1.1
20180103:0610;0.0;-1.12;1.24
20180103:0710;3.75;-1.26;1.66
20180103:0810;11.99;0.69;1.59
