Date and time;Indoor Temp room 1 (¡C);Indoor Temp room 2 (¡C);Indoor Temp room 3 (¡C);External temperature (Celsius degree);Flat energy (kWh);Builing energy (kWh);Surface
20/02/2001;21,75;21,37;21,33;;0,09;0,67;417
10/01/2021;21,7;21,34;21,33;;0,09;0,66;417
10/01/2021;21,69;21,33;21,28;;0,09;0,65;417
10/01/2021;21,6;21,31;21,23;;0,09;0,65;417
10/01/2021;21,57;21,22;21,22;;0,09;0,65;417
10/01/2021;21,53;21,23;21,14;;0,09;0,65;417
10/01/2021;21,58;21,24;21,24;;0,09;2,81;417
10/01/2021;21,68;21,34;21,3;;0,09;2,85;417
10/01/2021;21,79;21,34;21,34;;0,09;2,89;417
10/01/2021;22,09;21,65;21,54;;0,09;2,88;417
10/01/2021;22,19;21,85;21,66;;0,09;1,43;417
10/01/2021;22,19;21,77;21,6;;0,09;0,69;417
10/01/2021;22,29;21,73;21,72;;0,09;2,6;417
10/01/2021;22,37;21,85;21,84;;0,09;2,86;417
10/01/2021;22,67;21,89;22,09;;0,09;2,87;417
10/01/2021;22,97;21,96;22,45;;0,09;2,86;417
10/01/2021;22,84;21,97;22,34;;0,09;2,85;417
10/01/2021;22,39;21,81;21,91;;0,09;0,66;417
10/01/2021;22,17;21,7;21,68;;0,09;0,66;417
10/01/2021;21,99;21,52;21,56;;0,09;0,65;417
10/01/2021;21,81;21,45;21,47;;0,09;0,65;417
10/01/2021;21,72;21,41;21,35;;0,09;0,65;417
10/01/2021;21,66;21,32;21,31;;0,09;0,66;417
10/01/2021;21,6;21,27;21,3;;0,09;0,66;417
11/01/2021;20,16;17,51;16,13;10,84;2,51;2,68;417
11/01/2021;20,12;17,47;16,14;10,78;2,74;2,76;417
11/01/2021;20,12;17,59;16,11;10,68;2,95;2,98;417
11/01/2021;20,09;17,55;16,11;10,64;3,38;3,09;417
11/01/2021;20,18;17,58;16,21;10,61;2,73;2,75;417
11/01/2021;20,14;17,56;16,14;10,66;2,52;2,88;417
11/01/2021;20,31;17,91;16,38;10,54;3,91;4,07;417
11/01/2021;22,45;19,55;18,46;10,4;5,93;6,42;417
11/01/2021;22,86;19,88;18,92;10,52;4,48;5,08;417
11/01/2021;22,92;20,11;18,88;10,64;4,33;4,92;417
11/01/2021;22,66;20,16;18,61;10,79;5,46;5,98;417
11/01/2021;22,75;20,43;18,77;10,74;4,51;5,09;417
