0,Builing energy (kWh),Date and time,External temperature (Celsius degree),Flat energy (kWh),Indoor Temp room 1 (ï¿½C),Indoor Temp room 2 (ï¿½C),Indoor Temp room 3 (ï¿½C),Surface
Date and time,,,,,,,,
Indoor Temp room 1 (ï¿½C),,,,,,,,
Indoor Temp room 2 (ï¿½C),,,,,,,,
Indoor Temp room 3 (ï¿½C),,,,,,,,
External temperature (Celsius degree),,,,,,,,
Flat energy (kWh),,,,,,,,
Builing energy (kWh),,,,,,,,
Surface,,,,,,,,
,"0,67",20/02/01 00:00,,"0,09","21,75","21,37","21,33","417,00"
,"0,66",10/01/21 01:00,,"0,09","21,70","21,34","21,33","417,00"
,"0,65",10/01/21 02:00,,"0,09","21,69","21,33","21,28","417,00"
,"0,65",10/01/21 03:00,,"0,09","21,60","21,31","21,23","417,00"
,"0,65",10/01/21 04:00,,"0,09","21,57","21,22","21,22","417,00"
,"0,65",10/01/21 05:00,,"0,09","21,53","21,23","21,14","417,00"
,"2,81",10/01/21 06:00,,"0,09","21,58","21,24","21,24","417,00"
,"2,85",10/01/21 07:00,,"0,09","21,68","21,34","21,30","417,00"
,"2,89",10/01/21 08:00,,"0,09","21,79","21,34","21,34","417,00"
,"2,88",10/01/21 09:00,,"0,09","22,09","21,65","21,54","417,00"
,"1,43",10/01/21 10:00,,"0,09","22,19","21,85","21,66","417,00"
,"0,69",10/01/21 11:00,,"0,09","22,19","21,77","21,60","417,00"
,"2,60",10/01/21 12:00,,"0,09","22,29","21,73","21,72","417,00"
,"2,86",10/01/21 13:00,,"0,09","22,37","21,85","21,84","417,00"
,"2,87",10/01/21 14:00,,"0,09","22,67","21,89","22,09","417,00"
,"2,86",10/01/21 15:00,,"0,09","22,97","21,96","22,45","417,00"
,"2,85",10/01/21 16:00,,"0,09","22,84","21,97","22,34","417,00"
,"0,66",10/01/21 17:00,,"0,09","22,39","21,81","21,91","417,00"
,"0,66",10/01/21 18:00,,"0,09","22,17","21,70","21,68","417,00"
,"0,65",10/01/21 19:00,,"0,09","21,99","21,52","21,56","417,00"
,"0,65",10/01/21 20:00,,"0,09","21,81","21,45","21,47","417,00"
,"0,65",10/01/21 21:00,,"0,09","21,72","21,41","21,35","417,00"
,"0,66",10/01/21 22:00,,"0,09","21,66","21,32","21,31","417,00"
,"0,66",10/01/21 23:00,,"0,09","21,60","21,27","21,30","417,00"
,"2,68",11/01/21 00:00,"10,84","2,51","20,16","17,51","16,13","417,00"
