,timestamp,indor1,indor2,indor3,external,flat,building,surface,stagione,ora
0,2001-02-20 00:00:00,21.75,21.37,21.33,,0.09,0.67,417.0,1,0
1,2021-01-10 01:00:00,21.7,21.34,21.33,,0.09,0.66,417.0,1,1
2,2021-01-10 02:00:00,21.69,21.33,21.28,,0.09,0.65,417.0,1,2
3,2021-01-10 03:00:00,21.6,21.31,21.23,,0.09,0.65,417.0,1,3
4,2021-01-10 04:00:00,21.57,21.22,21.22,,0.09,0.65,417.0,1,4
5,2021-01-10 05:00:00,21.53,21.23,21.14,,0.09,0.65,417.0,1,5
6,2021-01-10 06:00:00,21.58,21.24,21.24,,0.09,2.81,417.0,1,6
7,2021-01-10 07:00:00,21.68,21.34,21.3,,0.09,2.85,417.0,1,7
8,2021-01-10 08:00:00,21.79,21.34,21.34,,0.09,2.89,417.0,1,8
9,2021-01-10 09:00:00,22.09,21.65,21.54,,0.09,2.88,417.0,1,9
10,2021-01-10 10:00:00,22.19,21.85,21.66,,0.09,1.43,417.0,1,10
11,2021-01-10 11:00:00,22.19,21.77,21.6,,0.09,0.69,417.0,1,11
12,2021-01-10 12:00:00,22.29,21.73,21.72,,0.09,2.6,417.0,1,12
13,2021-01-10 13:00:00,22.37,21.85,21.84,,0.09,2.86,417.0,1,13
14,2021-01-10 14:00:00,22.67,21.89,22.09,,0.09,2.87,417.0,1,14
15,2021-01-10 15:00:00,22.97,21.96,22.45,,0.09,2.86,417.0,1,15
16,2021-01-10 16:00:00,22.84,21.97,22.34,,0.09,2.85,417.0,1,16
17,2021-01-10 17:00:00,22.39,21.81,21.91,,0.09,0.66,417.0,1,17
18,2021-01-10 18:00:00,22.17,21.7,21.68,,0.09,0.66,417.0,1,18
19,2021-01-10 19:00:00,21.99,21.52,21.56,,0.09,0.65,417.0,1,19
20,2021-01-10 20:00:00,21.81,21.45,21.47,,0.09,0.65,417.0,1,20
21,2021-01-10 21:00:00,21.72,21.41,21.35,,0.09,0.65,417.0,1,21
22,2021-01-10 22:00:00,21.66,21.32,21.31,,0.09,0.66,417.0,1,22
23,2021-01-10 23:00:00,21.6,21.27,21.3,,0.09,0.66,417.0,1,23
24,2021-01-11 00:00:00,20.16,17.51,16.13,10.84,2.51,2.68,417.0,1,0
25,2021-01-11 01:00:00,20.12,17.47,16.14,10.78,2.74,2.76,417.0,1,1
26,2021-01-11 02:00:00,20.12,17.59,16.11,10.68,2.95,2.98,417.0,1,2
